fecha,total_articulos
2018-09-23,52230
2018-09-24,45984
2018-09-25,43857
2018-09-26,48224
2018-09-27,44261
2018-09-28,66900
2018-09-29,141700
2018-09-30,38043
2018-10-01,38677
2018-10-02,39932
2018-10-03,38387
2018-10-04,38103
2018-10-05,33485
2018-10-06,37012
2018-10-07,32647
2018-10-08,28241
2018-10-09,38581
2018-10-10,63750
2018-10-11,58802
2018-10-12,53530
2018-10-13,53008
2018-10-14,36426
2018-10-15,33624
2018-10-16,48481
2018-10-17,59231
2018-10-18,46586
2018-10-19,39033
2018-10-20,40517
2018-10-21,37437
2018-10-22,43546
2018-10-23,49740
2018-10-24,64499
2018-10-25,54487
2018-10-26,55390
2018-10-27,50649
2018-10-28,56271
2018-10-29,45952
2018-10-30,42392
2018-10-31,38624
2018-11-01,41119
2018-11-02,36103
2018-11-03,39899
2018-11-04,32709
2018-11-05,30346
2018-11-06,33798
2018-11-07,35299
2018-11-08,32002
2018-11-09,35259
2018-11-10,34598
2018-11-11,44899
2018-11-12,25777
2018-11-13,28740
2018-11-14,35108
2018-11-15,38619
2018-11-16,38361
2018-11-17,38817
2018-11-18,35871
2018-11-19,32984
2018-11-20,40454
2018-11-21,43132
2018-11-22,56174
2018-11-23,142018
2018-11-24,80235
2018-11-25,59322
2018-11-26,56913
2018-11-27,30127
2018-11-28,29276
2018-11-29,32096
2018-11-30,30564
2018-12-01,34101
2018-12-02,26579
2018-12-03,27155
2018-12-04,31834
2018-12-05,35693
2018-12-06,37284
2018-12-07,33316
2018-12-08,37420
2018-12-09,34622
2018-12-10,30431
2018-12-11,31051
2018-12-12,39436
2018-12-13,33145
2018-12-14,31201
2018-12-15,36258
2018-12-16,32374
2018-12-17,34947
2018-12-18,39247
2018-12-19,46619
2018-12-20,61022
2018-12-21,56260
2018-12-22,58623
2018-12-23,43155
2018-12-24,38362
2018-12-25,14799
2018-12-26,24989
2018-12-27,52976
2018-12-28,46132
2018-12-29,42402
2018-12-30,33491
2018-12-31,23903
2019-01-01,18145
2019-01-02,44252
2019-01-03,47744
2019-01-04,43545
2019-01-05,44536
2019-01-06,37885
2019-01-07,34484
2019-01-08,49228
2019-01-09,53309
2019-01-10,53180
2019-01-11,42656
2019-01-12,44825
2019-01-13,39612
2019-01-14,35715
2019-01-15,35037
2019-01-16,46962
2019-01-17,36013
2019-01-18,35741
2019-01-19,38720
2019-01-20,34356
2019-01-21,34553
2019-01-22,36878
2019-01-23,40120
2019-01-24,42320
2019-01-25,46825
2019-01-26,48158
2019-01-27,40605
2019-01-28,35705
2019-01-29,44990
2019-01-30,39026
2019-01-31,38346
2019-02-01,41584
2019-02-02,43901
2019-02-03,45259
2019-02-04,33631
2019-02-05,35743
2019-02-06,37340
2019-02-07,39423
2019-02-08,36732
2019-02-09,41220
2019-02-10,36967
2019-02-11,32624
2019-02-12,34629
2019-02-13,33441
2019-02-14,33707
2019-02-15,37835
2019-02-16,43012
2019-02-17,33705
2019-02-18,31761
2019-02-19,33761
2019-02-20,43688
2019-02-21,58728
2019-02-22,64026
2019-02-23,75668
2019-02-24,34618
2019-02-25,39670
2019-02-26,43079
2019-02-27,45506
2019-02-28,41154
2019-03-01,42145
2019-03-02,40748
2019-03-03,35154
2019-03-04,30308
2019-03-05,34652
2019-03-06,49580
2019-03-07,44575
2019-03-08,39791
2019-03-09,40750
2019-03-10,39697
2019-03-11,35607
2019-03-12,37488
2019-03-13,45230
2019-03-14,39055
2019-03-15,37282
2019-03-16,51837
2019-03-17,39506
2019-03-18,31074
2019-03-19,35556
2019-03-20,41505
2019-03-21,41778
2019-03-22,43836
2019-03-23,44283
2019-03-24,40788
2019-03-25,37437
2019-03-26,47173
2019-03-27,49139
2019-03-28,47074
2019-03-29,47539
2019-03-30,49560
2019-03-31,46603
2019-04-01,43981
2019-04-02,42351
2019-04-03,44936
2019-04-04,42650
2019-04-05,40220
2019-04-06,119601
2019-04-07,40873
2019-04-08,34419
2019-04-09,39942
2019-04-10,43708
2019-04-11,41695
2019-04-12,41923
2019-04-13,44852
2019-04-14,42322
2019-04-15,41713
2019-04-16,44930
2019-04-17,45191
2019-04-18,47593
2019-04-19,53188
2019-04-20,55558
2019-04-21,32616
2019-04-22,45237
2019-04-23,61860
2019-04-24,80711
2019-04-25,63624
2019-04-26,54735
2019-04-27,29402
2019-04-28,44907
2019-04-29,48190
2019-04-30,63526
2019-05-01,72875
2019-05-02,68839
2019-05-03,55773
2019-05-04,52336
2019-05-05,41956
2019-05-06,39273
2019-05-07,43795
2019-05-08,44209
2019-05-09,38693
2019-05-10,41585
2019-05-11,42390
2019-05-12,33240
2019-05-13,35508
2019-05-14,41100
2019-05-15,40695
2019-05-16,97320
2019-05-17,41312
2019-05-18,47698
2019-05-19,37283
2019-05-20,43006
2019-05-21,43676
2019-05-22,51126
2019-05-23,52773
2019-05-24,58066
2019-05-25,56786
2019-05-26,51913
2019-05-27,51676
2019-05-28,49568
2019-05-29,68148
2019-05-30,47604
2019-05-31,70097
2019-06-01,62619
2019-06-02,58089
2019-06-03,52676
2019-06-04,51977
2019-06-05,53398
2019-06-06,51953
2019-06-07,48905
2019-06-08,46384
2019-06-09,29798
2019-06-10,39561
2019-06-11,43337
2019-06-12,36588
2019-06-13,78012
2019-06-14,48555
2019-06-15,46705
2019-06-16,34579
2019-06-17,50067
2019-06-18,60593
2019-06-19,104052
2019-06-20,92778
2019-06-21,84136
2019-06-22,87802
2019-06-23,80648
2019-06-24,95110
2019-06-25,91365
2019-06-26,96337
2019-06-27,82326
2019-06-28,74998
2019-06-29,63192
2019-06-30,59662
2019-07-01,72375
2019-07-02,70056
2019-07-03,71255
2019-07-04,58684
2019-07-05,56127
2019-07-06,56162
2019-07-07,44867
2019-07-08,51888
2019-07-09,54224
2019-07-10,63403
2019-07-11,58167
2019-07-12,49104
2019-07-13,52472
2019-07-14,45379
2019-07-15,53061
2019-07-16,51589
2019-07-17,60641
2019-07-18,57822
2019-07-19,52222
2019-07-20,47872
2019-07-21,47870
2019-07-22,59218
2019-07-23,63567
2019-07-24,124683
2019-07-25,64314
2019-07-26,57071
2019-07-27,55024
2019-07-28,47989
2019-07-29,54247
2019-07-30,50802
2019-07-31,55339
2019-08-01,52371
2019-08-02,41438
2019-08-03,40553
2019-08-04,34634
2019-08-05,44248
2019-08-06,48092
2019-08-07,46769
2019-08-08,45867
2019-08-09,39561
2019-08-10,41323
2019-08-11,32932
2019-08-12,39689
2019-08-13,45355
2019-08-14,53274
2019-08-15,51943
2019-08-16,45866
2019-08-17,43572
2019-08-18,45329
2019-08-19,39571
2019-08-20,41351
2019-08-21,42056
2019-08-22,40190
2019-08-23,35626
2019-08-24,32581
2019-08-25,28313
2019-08-26,31842
2019-08-27,31754
2019-08-28,34884
2019-08-29,38002
2019-08-30,34681
2019-08-31,29863
2019-09-01,33228
2019-09-02,33078
2019-09-03,33981
2019-09-04,34530
2019-09-05,43200
2019-09-06,38762
2019-09-07,39480
2019-09-08,37052
2019-09-09,33377
2019-09-10,37719
2019-09-11,36096
2019-09-12,35417
2019-09-13,36761
2019-09-14,35936
2019-09-15,31112
2019-09-16,33716
2019-09-17,37008
2019-09-18,39063
2019-09-19,36491
2019-09-20,31508
2019-09-21,20542
2019-09-22,33950
2019-09-23,34076
2019-09-24,36702
2019-09-25,41256
2019-09-26,37128
2019-09-27,35597
2019-09-28,198622
2019-09-29,40043
2019-09-30,31747
2019-10-01,40412
2019-10-02,63452
2019-10-03,50775
2019-10-04,43558
2019-10-05,43387
2019-10-06,42390
2019-10-07,39091
2019-10-08,37840
2019-10-09,44476
2019-10-10,38121
2019-10-11,32866
2019-10-12,36954
2019-10-13,33358
2019-10-14,31945
2019-10-15,34410
2019-10-16,37522
2019-10-17,31801
2019-10-18,29189
2019-10-19,32588
2019-10-20,27989
2019-10-21,31697
2019-10-22,35293
2019-10-23,37008
2019-10-24,37675
2019-10-25,37261
2019-10-26,34845
2019-10-27,33399
2019-10-28,29691
2019-10-29,30235
2019-10-30,34411
2019-10-31,33133
2019-11-01,32518
2019-11-02,35299
2019-11-03,84406
2019-11-04,28038
2019-11-05,28336
2019-11-06,29694
2019-11-07,28221
2019-11-08,30760
2019-11-09,31131
2019-11-10,25462
2019-11-11,41049
2019-11-12,25201
2019-11-13,27669
2019-11-14,28256
2019-11-15,28366
2019-11-16,31297
2019-11-17,25967
2019-11-18,23989
2019-11-19,25831
2019-11-20,29013
2019-11-21,28532
2019-11-22,30161
2019-11-23,31419
2019-11-24,25957
2019-11-25,38160
2019-11-26,37160
2019-11-27,33628
2019-11-28,106257
2019-11-29,160875
2019-11-30,65381
2019-12-01,68468
2019-12-02,60843
2019-12-03,22951
2019-12-04,25105
2019-12-05,22457
2019-12-06,24432
2019-12-07,28188
2019-12-08,23345
2019-12-09,24980
2019-12-10,28309
2019-12-11,31451
2019-12-12,31493
2019-12-13,28924
2019-12-14,32329
2019-12-15,28747
2019-12-16,30041
2019-12-17,33931
2019-12-18,66070
2019-12-19,53330
2019-12-20,52454
2019-12-21,56187
2019-12-22,46731
2019-12-23,51240
2019-12-24,37927
2019-12-25,13637
2019-12-26,20328
2019-12-27,40678
2019-12-28,39513
2019-12-29,34918
2019-12-30,34915
2019-12-31,24393
2020-01-01,12760
2020-01-02,44864
2020-01-03,46190
2020-01-04,44507
2020-01-05,34813
2020-01-06,29430
2020-01-07,29251
2020-01-08,38700
2020-01-09,36746
2020-01-10,34590
2020-01-11,36101
2020-01-12,34899
2020-01-13,31333
2020-01-14,32103
2020-01-15,32972
2020-01-16,33827
2020-01-17,31236
2020-01-18,34025
2020-01-19,29787
2020-01-20,29107
2020-01-21,25632
2020-01-22,34075
2020-01-23,36257
2020-01-24,38920
2020-01-25,43377
2020-01-26,43586
2020-01-27,35427
2020-01-28,33689
2020-01-29,36833
2020-01-30,36058
2020-01-31,35259
2020-02-01,38017
2020-02-02,31387
2020-02-03,31845
2020-02-04,30914
2020-02-05,36030
2020-02-06,41058
2020-02-07,38144
2020-02-08,39288
2020-02-09,33788
2020-02-10,30260
2020-02-11,31588
2020-02-12,29543
2020-02-13,35157
2020-02-14,32158
2020-02-15,37570
2020-02-16,32814
2020-02-17,32415
2020-02-18,33069
2020-02-19,26943
2020-02-20,39201
2020-02-21,34720
2020-02-22,34562
2020-02-23,29957
2020-02-24,30865
2020-02-25,35114
2020-02-26,38859
2020-02-27,41095
2020-02-28,35822
2020-02-29,39676
2020-03-01,37082
2020-03-02,30941
2020-03-03,36802
2020-03-04,56629
2020-03-05,46043
2020-03-06,40139
2020-03-07,44794
2020-03-08,39775
2020-03-09,37516
2020-03-10,34895
2020-03-11,41503
2020-03-12,32748
2020-03-13,29159
2020-03-14,33680
2020-03-15,25601
2020-03-16,19385
2020-03-17,23792
2020-03-18,27091
2020-03-19,24810
2020-03-20,25830
2020-03-21,27792
2020-03-22,34956
2020-03-23,25907
2020-03-24,32432
2020-03-25,34904
2020-03-26,35264
2020-03-27,31779
2020-03-28,31114
2020-03-29,34443
2020-03-30,36648
2020-03-31,34298
2020-04-01,39518
2020-04-02,39040
2020-04-03,55966
2020-04-04,80500
2020-04-05,36027
2020-04-06,41962
2020-04-07,44270
2020-04-08,52965
2020-04-09,50991
2020-04-10,41889
2020-04-11,162799
2020-04-12,31418
2020-04-13,32744
2020-04-14,29072
2020-04-15,33366
2020-04-16,34359
2020-04-17,32475
2020-04-18,32065
2020-04-19,29562
2020-04-20,36744
2020-04-21,30862
2020-04-22,37893
2020-04-23,44438
2020-04-24,41437
2020-04-25,51396
2020-04-26,59238
2020-04-27,27850
2020-04-28,35644
2020-04-29,36390
2020-04-30,38002
2020-05-01,32182
2020-05-02,27822
2020-05-03,25087
2020-05-04,28126
2020-05-05,25874
2020-05-06,34129
2020-05-07,37864
2020-05-08,43071
2020-05-09,43018
2020-05-10,26039
2020-05-11,37795
2020-05-12,37670
2020-05-13,41121
2020-05-14,45407
2020-05-15,42451
2020-05-16,41721
2020-05-17,34390
2020-05-18,44982
2020-05-19,49952
2020-05-20,58890
2020-05-21,48272
2020-05-22,67789
2020-05-23,62966
2020-05-24,41785
2020-05-25,51475
2020-05-26,56595
2020-05-27,62439
2020-05-28,60745
2020-05-29,59463
2020-05-30,60861
2020-05-31,31834
2020-06-01,43084
2020-06-02,44666
2020-06-03,53187
2020-06-04,50470
2020-06-05,44470
2020-06-06,48649
2020-06-07,36733
2020-06-08,38117
2020-06-09,39370
2020-06-10,42585
2020-06-11,44044
2020-06-12,43804
2020-06-13,46088
2020-06-14,32087
2020-06-15,40427
2020-06-16,49855
2020-06-17,110981
2020-06-18,84563
2020-06-19,77241
2020-06-20,67788
2020-06-21,56469
2020-06-22,75334
2020-06-23,77067
2020-06-24,98790
2020-06-25,88684
2020-06-26,77452
2020-06-27,74671
2020-06-28,63485
2020-06-29,53193
2020-06-30,61153
2020-07-01,59443
2020-07-02,55884
2020-07-03,51212
2020-07-04,46408
2020-07-05,38401
2020-07-06,40933
2020-07-07,45138
2020-07-08,49839
2020-07-09,43016
2020-07-10,43922
2020-07-11,40292
2020-07-12,29794
2020-07-13,41095
2020-07-14,38714
2020-07-15,51387
2020-07-16,45465
2020-07-17,42666
2020-07-18,37666
2020-07-19,28801
2020-07-20,40657
2020-07-21,42886
2020-07-22,46368
2020-07-23,44976
2020-07-24,46496
2020-07-25,41058
2020-07-26,33688
2020-07-27,40196
2020-07-28,46687
2020-07-29,47998
2020-07-30,51712
2020-07-31,38704
2020-08-01,41958
2020-08-02,38806
2020-08-03,45416
2020-08-04,54875
2020-08-05,53207
2020-08-06,52430
2020-08-07,43193
2020-08-08,33685
2020-08-09,27024
2020-08-10,36909
2020-08-11,42713
2020-08-12,71072
2020-08-13,39349
2020-08-14,35305
2020-08-15,29427
2020-08-16,22613
2020-08-17,32532
2020-08-18,34913
2020-08-19,37284
2020-08-20,37926
2020-08-21,33913
2020-08-22,34978
2020-08-23,33031
2020-08-24,37672
2020-08-25,41840
2020-08-26,46027
2020-08-27,44403
2020-08-28,39546
2020-08-29,41175
2020-08-30,35862
2020-08-31,38108
2020-09-01,38060
2020-09-02,32722
2020-09-03,40441
2020-09-04,39203
2020-09-05,43002
2020-09-06,34961
2020-09-07,37913
2020-09-08,36415
2020-09-09,41626
2020-09-10,40261
2020-09-11,37561
2020-09-12,40271
2020-09-13,39528
2020-09-14,29941
2020-09-15,26053
2020-09-16,27028
2020-09-17,40718
2020-09-18,39284
2020-09-19,36796
2020-09-20,31489
2020-09-21,32130
2020-09-22,32866
